VTX, IDX, inPosition.x, inPosition.y, inPosition.z, inColor.x, inColor.y, inColor.z, inColor.w
7412, 7412, 167.28967, 51.16062, 10.25434, 10.25434, 0.00, 1.00, 1.00
7413, 7413, 167.28967, 50.99668, 10.25434, 10.25434, 0.00, 1.00, 1.00
7414, 7414, 167.68039, 51.16062, 9.45241, 9.45241, 0.00, 1.00, 1.00
7415, 7415, 167.68039, 50.99668, 9.45241, 9.45241, 0.00, 1.00, 1.00
7416, 7416, -1.52641, 23.67043, -108.61086, -108.61086, 0.00, 1.00, 1.00
7417, 7417, -1.57272, 23.67043, -107.72002, -107.72002, 0.00, 1.00, 1.00
7418, 7418, -1.57272, 23.67043, -107.72002, -107.72002, 0.00, 1.00, 1.00
7419, 7419, -2.38152, 23.67043, -107.76208, -107.76208, 0.00, 1.00, 1.00
7420, 7420, -2.38152, 23.67043, -107.76208, -107.76208, 0.00, 1.00, 1.00
7421, 7421, -2.33521, 23.67043, -108.65292, -108.65292, 0.00, 1.00, 1.00
7422, 7422, -2.33521, 23.67043, -108.65292, -108.65292, 0.00, 1.00, 1.00
7423, 7423, -1.52641, 23.67043, -108.61086, -108.61086, 0.00, 1.00, 1.00
7424, 7424, -1.52641, 23.5065, -108.61086, -108.61086, 0.00, 1.00, 1.00
7425, 7425, -1.57272, 23.5065, -107.72002, -107.72002, 0.00, 1.00, 1.00
7426, 7426, -1.57272, 23.5065, -107.72002, -107.72002, 0.00, 1.00, 1.00
7427, 7427, -2.38152, 23.5065, -107.76208, -107.76208, 0.00, 1.00, 1.00
7428, 7428, -2.38152, 23.5065, -107.76208, -107.76208, 0.00, 1.00, 1.00
7429, 7429, -2.33521, 23.5065, -108.65292, -108.65292, 0.00, 1.00, 1.00
7430, 7430, -2.33521, 23.5065, -108.65292, -108.65292, 0.00, 1.00, 1.00
7431, 7431, -1.52641, 23.5065, -108.61086, -108.61086, 0.00, 1.00, 1.00
7432, 7432, -1.52641, 23.67043, -108.61086, -108.61086, 0.00, 1.00, 1.00
7433, 7433, -1.52641, 23.5065, -108.61086, -108.61086, 0.00, 1.00, 1.00
7434, 7434, -1.57272, 23.67043, -107.72002, -107.72002, 0.00, 1.00, 1.00
7435, 7435, -1.57272, 23.5065, -107.72002, -107.72002, 0.00, 1.00, 1.00
7436, 7436, -2.38152, 23.67043, -107.76208, -107.76208, 0.00, 1.00, 1.00
7437, 7437, -2.38152, 23.5065, -107.76208, -107.76208, 0.00, 1.00, 1.00
7438, 7438, -2.33521, 23.67043, -108.65292, -108.65292, 0.00, 1.00, 1.00
7439, 7439, -2.33521, 23.5065, -108.65292, -108.65292, 0.00, 1.00, 1.00
7440, 7440, 100.78828, 1.96769, -431.97943, -431.97943, 0.00, 1.00, 1.00
7441, 7441, 101.15144, 1.96769, -431.16467, -431.16467, 0.00, 1.00, 1.00
7442, 7442, 101.15144, 1.96769, -431.16467, -431.16467, 0.00, 1.00, 1.00
7443, 7443, 100.41171, 1.96769, -430.83496, -430.83496, 0.00, 1.00, 1.00
7444, 7444, 100.41171, 1.96769, -430.83496, -430.83496, 0.00, 1.00, 1.00
7445, 7445, 100.04855, 1.96769, -431.64972, -431.64972, 0.00, 1.00, 1.00
7446, 7446, 100.04855, 1.96769, -431.64972, -431.64972, 0.00, 1.00, 1.00
7447, 7447, 100.78828, 1.96769, -431.97943, -431.97943, 0.00, 1.00, 1.00
7448, 7448, 100.78828, 1.80375, -431.97943, -431.97943, 0.00, 1.00, 1.00
7449, 7449, 101.15144, 1.80375, -431.16467, -431.16467, 0.00, 1.00, 1.00
7450, 7450, 101.15144, 1.80375, -431.16467, -431.16467, 0.00, 1.00, 1.00
7451, 7451, 100.41171, 1.80375, -430.83496, -430.83496, 0.00, 1.00, 1.00
7452, 7452, 100.41171, 1.80375, -430.83496, -430.83496, 0.00, 1.00, 1.00
7453, 7453, 100.04855, 1.80375, -431.64972, -431.64972, 0.00, 1.00, 1.00
7454, 7454, 100.04855, 1.80375, -431.64972, -431.64972, 0.00, 1.00, 1.00
7455, 7455, 100.78828, 1.80375, -431.97943, -431.97943, 0.00, 1.00, 1.00
7456, 7456, 100.78828, 1.96769, -431.97943, -431.97943, 0.00, 1.00, 1.00
7457, 7457, 100.78828, 1.80375, -431.97943, -431.97943, 0.00, 1.00, 1.00
7458, 7458, 101.15144, 1.96769, -431.16467, -431.16467, 0.00, 1.00, 1.00
7459, 7459, 101.15144, 1.80375, -431.16467, -431.16467, 0.00, 1.00, 1.00
7460, 7460, 100.41171, 1.96769, -430.83496, -430.83496, 0.00, 1.00, 1.00
7461, 7461, 100.41171, 1.80375, -430.83496, -430.83496, 0.00, 1.00, 1.00
7462, 7462, 100.04855, 1.96769, -431.64972, -431.64972, 0.00, 1.00, 1.00
7463, 7463, 100.04855, 1.80375, -431.64972, -431.64972, 0.00, 1.00, 1.00
7464, 7464, 132.34564, 64.64889, 50.04178, 50.04178, 0.00, 1.00, 1.00
7465, 7465, 131.92801, 64.64889, 50.83002, 50.83002, 0.00, 1.00, 1.00
7466, 7466, 131.92801, 64.64889, 50.83002, 50.83002, 0.00, 1.00, 1.00
7467, 7467, 131.21237, 64.64889, 50.45085, 50.45085, 0.00, 1.00, 1.00
7468, 7468, 131.21237, 64.64889, 50.45085, 50.45085, 0.00, 1.00, 1.00
7469, 7469, 131.63, 64.64889, 49.66261, 49.66261, 0.00, 1.00, 1.00
7470, 7470, 131.63, 64.64889, 49.66261, 49.66261, 0.00, 1.00, 1.00
7471, 7471, 132.34564, 64.64889, 50.04178, 50.04178, 0.00, 1.00, 1.00
7472, 7472, 132.34564, 64.48495, 50.04178, 50.04178, 0.00, 1.00, 1.00
7473, 7473, 131.92801, 64.48495, 50.83002, 50.83002, 0.00, 1.00, 1.00
7474, 7474, 131.92801, 64.48495, 50.83002, 50.83002, 0.00, 1.00, 1.00
7475, 7475, 131.21237, 64.48495, 50.45085, 50.45085, 0.00, 1.00, 1.00
7476, 7476, 131.21237, 64.48495, 50.45085, 50.45085, 0.00, 1.00, 1.00
